compound,temperature,conductivity,log_cond,log_Ionic_Conductivity,Ionic_Conductivity,residue,ic_sqr,Predicted_log_IC,Predicted_IC_S_cm
Li6.4 La3.0Zr2.0Fe0.2O12,300,0.000764,-3.163581772914301,-3.283993304,0.000259862,0.219824764,0.3637331495,-2.88411235544229,0.0013058330150245447
Li6.4 La3.0Zr2.0Ga0.2O12,300,0.00107,-2.97616790269922,-3.3021063035,0.000271936,0.3521938745,0.5742885035,-2.9655436416175367,0.0010825709236918699
Li6.45 La2.95Zr1.4Ca0.05Ta0.6O12,300,0.0003435,-3.4706883069059264,-3.819876348,0.00017109999999999998,0.0060018455,0.073424876,-3.578022474462248,0.00026422720178934046
Li6.5 La2.5Zr1.0Ba0.5Ta1.0O12,300,0.00011999999999999999,-3.9348331157524967,-4.001511053,0.00019380000000000002,0.1196857295,0.053940167500000004,-7.797705053002726,1.5932904278482023e-08
Li6.5 La3.0Zr1.5Ta0.5O12,300,1.4e-05,-4.853871964321762,-4.330736559,4.67e-05,1.404702688,1.26132607,-5.701252236997622,1.989517497271356e-06
Li6.5 La4.0Zr1.75Mo0.25O12,300,1.74e-05,-4.7594507517174005,-4.275815412,0.000157172,0.913601525,1.058154825,-6.524908168319272,2.9860139455910095e-07
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.00113,-2.9469215565165805,-2.961362057,0.000232134,0.472434958,0.614440682,-2.8766282183966916,0.0013285312719271143
Li6.6 La3.0Zr1.6Sb0.4O12,300,0.00043999999999999996,-3.5360582948346466,-3.1664560914999997,0.000166167,0.237789764,0.21646586199999998,-3.6646642362679183,0.00021643912210616743
Li6.6 La3.0Zr1.6Ta0.4O12,300,0.00026,-3.627853508438662,-3.9582786729999997,0.000219515,0.1254282145,0.11476380650000001,-3.7869703218447452,0.00016331635487258042
Li6.7 La3.0Zr2.0Ga0.1O12,300,4.25e-05,-4.411954370472159,-4.182819908,0.000211267,0.578995301,0.5001329145,-4.8475238380232515,1.4206142345160372e-05
Li6.75 La3.0Zr1.75Ta0.25O12,300,0.000655,-3.183758700008217,-3.31338224,0.00025661,0.165622572,0.299236925,-3.030671899382995,0.0009318115742451338
Li6.8 La3.0Zr1.8Ta0.2O12,300,6.54e-05,-4.184422251675732,-4.033417428,0.000254812,0.34885767,0.20578746,-4.798549791149134,1.590194360199199e-05
Li6.925 La3.0Zr1.925Sb0.075O12,300,0.00030250000000000003,-3.5226376045104684,-3.4947338324999997,0.000118016,0.167296466,0.046253613,-3.646256503963842,0.00022581016912949454
Li7.0 La3.0Zr2.0O12,300,0.0001435,-3.8640791967317503,-4.1214422895,3.09e-06,2.727354933,0.228144295,-4.066987796071255,8.570619288330566e-05
